year,city_temp,global_temp
1750,7.88,8.72
1751,8.60,7.98
1752,0.36,5.78
1753,7.35,8.39
1754,7.75,8.47
1755,4.28,8.36
1756,7.76,8.85
1757,6.65,9.02
1758,6.09,6.74
1759,6.80,7.99
1760,5.53,7.19
1761,8.05,8.77
1762,7.42,8.61
1763,4.99,7.50
1764,7.36,8.40
1765,6.73,8.25
1766,7.96,8.41
1767,6.28,8.22
1768,6.74,6.78
1769,6.94,7.69
1770,6.99,7.69
1771,7.72,7.85
1772,7.44,8.19
1773,7.97,8.22
1774,7.35,8.77
1775,8.08,9.18
1776,6.83,8.30
1777,6.56,8.26
1778,4.75,8.54
1779,-2.31,8.98
1780,,9.43
1781,7.61,8.10
1782,6.98,7.90
1783,6.64,7.68
1784,6.24,7.86
1785,6.32,7.36
1786,6.81,8.26
1787,6.81,8.03
1788,7.60,8.45
1789,7.25,8.33
1790,7.22,7.98
1791,7.11,8.23
1792,6.47,8.09
1793,7.81,8.23
1794,7.76,8.53
1795,7.02,8.35
1796,6.82,8.27
1797,6.70,8.51
1798,7.37,8.67
1799,6.85,8.51
1800,7.59,8.48
1801,8.01,8.59
1802,8.24,8.58
1803,7.81,8.50
1804,7.43,8.84
1805,8.26,8.56
1806,7.05,8.43
1807,6.89,8.28
1808,7.31,7.63
1809,6.57,7.08
1810,7.24,6.92
1811,7.43,6.86
1812,5.48,7.05
1813,6.61,7.74
1814,6.36,7.59
1815,6.13,7.24
1816,5.83,6.94
1817,5.57,6.98
1818,5.91,7.83
1819,6.99,7.37
1820,6.80,7.62
1821,6.52,8.09
1822,7.37,8.19
1823,6.26,7.72
1824,7.04,8.55
1825,8.00,8.39
1826,7.84,8.36
1827,6.96,8.81
1828,8.45,8.17
1829,6.74,7.94
1830,7.72,8.52
1831,7.15,7.64
1832,6.67,7.45
1833,6.76,8.01
1834,6.91,8.15
1835,5.97,7.39
1836,5.28,7.70
1837,5.59,7.38
1838,6.36,7.51
1839,6.95,7.63
1840,6.98,7.80
1841,6.83,7.69
1842,6.93,8.02
1843,6.30,8.17
1844,6.57,7.65
